Accession code,Uniprot URL
Q8NEV1,https://www.uniprot.org/uniprot/Q8NEV1
Q6XUX3,https://www.uniprot.org/uniprot/Q6XUX3
Q9BQI3,https://www.uniprot.org/uniprot/Q9BQI3
P19525,https://www.uniprot.org/uniprot/P19525
Q9NZJ5,https://www.uniprot.org/uniprot/Q9NZJ5
Q9P2K8,https://www.uniprot.org/uniprot/Q9P2K8
O75460,https://www.uniprot.org/uniprot/O75460
Q76MJ5,https://www.uniprot.org/uniprot/Q76MJ5
O14976,https://www.uniprot.org/uniprot/O14976
Q8TF76,https://www.uniprot.org/uniprot/Q8TF76
O14920,https://www.uniprot.org/uniprot/O14920
Q14164,https://www.uniprot.org/uniprot/Q14164
Q8NB16,https://www.uniprot.org/uniprot/Q8NB16
P00540,https://www.uniprot.org/uniprot/P00540
Q9UHY1,https://www.uniprot.org/uniprot/Q9UHY1
Q9NSY0,https://www.uniprot.org/uniprot/Q9NSY0
Q58A45,https://www.uniprot.org/uniprot/Q58A45
Q8N165,https://www.uniprot.org/uniprot/Q8N165
Q9H792,https://www.uniprot.org/uniprot/Q9H792
Q99570,https://www.uniprot.org/uniprot/Q99570
Q9BXM7,https://www.uniprot.org/uniprot/Q9BXM7
Q504Y2,https://www.uniprot.org/uniprot/Q504Y2
Q99640,https://www.uniprot.org/uniprot/Q99640
P53350,https://www.uniprot.org/uniprot/P53350
Q9NYY3,https://www.uniprot.org/uniprot/Q9NYY3
Q9H4B4,https://www.uniprot.org/uniprot/Q9H4B4
O00444,https://www.uniprot.org/uniprot/O00444
Q496M5,https://www.uniprot.org/uniprot/Q496M5
Q9H5K3,https://www.uniprot.org/uniprot/Q9H5K3
Q86YV5,https://www.uniprot.org/uniprot/Q86YV5
Q7Z7A4,https://www.uniprot.org/uniprot/Q7Z7A4
Q05823,https://www.uniprot.org/uniprot/Q05823
Q96S38,https://www.uniprot.org/uniprot/Q96S38
Q9Y6S9,https://www.uniprot.org/uniprot/Q9Y6S9
Q96LW2,https://www.uniprot.org/uniprot/Q96LW2
Q52WX2,https://www.uniprot.org/uniprot/Q52WX2
P0C263,https://www.uniprot.org/uniprot/P0C263
P0C264,https://www.uniprot.org/uniprot/P0C264
Q96KG9,https://www.uniprot.org/uniprot/Q96KG9
Q6P3W7,https://www.uniprot.org/uniprot/Q6P3W7
Q8IZE3,https://www.uniprot.org/uniprot/Q8IZE3
O75716,https://www.uniprot.org/uniprot/O75716
Q9BXU1,https://www.uniprot.org/uniprot/Q9BXU1
Q8WU08,https://www.uniprot.org/uniprot/Q8WU08
Q9NY57,https://www.uniprot.org/uniprot/Q9NY57
Q86UX6,https://www.uniprot.org/uniprot/Q86UX6
Q8TDR2,https://www.uniprot.org/uniprot/Q8TDR2
Q9NRP7,https://www.uniprot.org/uniprot/Q9NRP7
Q8NE28,https://www.uniprot.org/uniprot/Q8NE28
Q8TEA7,https://www.uniprot.org/uniprot/Q8TEA7
Q9UHD2,https://www.uniprot.org/uniprot/Q9UHD2
Q8IWB6,https://www.uniprot.org/uniprot/Q8IWB6
Q9UKI8,https://www.uniprot.org/uniprot/Q9UKI8
Q86UE8,https://www.uniprot.org/uniprot/Q86UE8
Q96S44,https://www.uniprot.org/uniprot/Q96S44
P33981,https://www.uniprot.org/uniprot/P33981
Q8TAS1,https://www.uniprot.org/uniprot/Q8TAS1
O75385,https://www.uniprot.org/uniprot/O75385
Q8IYT8,https://www.uniprot.org/uniprot/Q8IYT8
Q6PHR2,https://www.uniprot.org/uniprot/Q6PHR2
Q96C45,https://www.uniprot.org/uniprot/Q96C45
P30291,https://www.uniprot.org/uniprot/P30291
P0C1S8,https://www.uniprot.org/uniprot/P0C1S8
Q9H4A3,https://www.uniprot.org/uniprot/Q9H4A3
Q9Y3S1,https://www.uniprot.org/uniprot/Q9Y3S1
Q9BYP7,https://www.uniprot.org/uniprot/Q9BYP7
Q96J92,https://www.uniprot.org/uniprot/Q96J92
Q86TW2,https://www.uniprot.org/uniprot/Q86TW2
Q7Z695,https://www.uniprot.org/uniprot/Q7Z695
Q3MIX3,https://www.uniprot.org/uniprot/Q3MIX3
Q8NI60,https://www.uniprot.org/uniprot/Q8NI60
Q96D53,https://www.uniprot.org/uniprot/Q96D53
Q96QP1,https://www.uniprot.org/uniprot/Q96QP1
Q86TB3,https://www.uniprot.org/uniprot/Q86TB3
Q96L96,https://www.uniprot.org/uniprot/Q96L96
O00418,https://www.uniprot.org/uniprot/O00418
Q9BX84,https://www.uniprot.org/uniprot/Q9BX84
Q96QT4,https://www.uniprot.org/uniprot/Q96QT4
Q14296,https://www.uniprot.org/uniprot/Q14296
O14874,https://www.uniprot.org/uniprot/O14874
Q15118,https://www.uniprot.org/uniprot/Q15118
Q15119,https://www.uniprot.org/uniprot/Q15119
Q15120,https://www.uniprot.org/uniprot/Q15120
Q16654,https://www.uniprot.org/uniprot/Q16654
Q13315,https://www.uniprot.org/uniprot/Q13315
Q13535,https://www.uniprot.org/uniprot/Q13535
P42345,https://www.uniprot.org/uniprot/P42345
P42336,https://www.uniprot.org/uniprot/P42336
P42338,https://www.uniprot.org/uniprot/P42338
O00329,https://www.uniprot.org/uniprot/O00329
P48736,https://www.uniprot.org/uniprot/P48736
P78527,https://www.uniprot.org/uniprot/P78527
Q96Q15,https://www.uniprot.org/uniprot/Q96Q15
