ID,CNumber,Target,Screen Conc(0.001),% Activity Remaining,Standard Deviation,Screen Conc(0.01),% Activity Remaining.1,Standard Deviation.1,Screen Conc(0.1),% Activity Remaining.2,Standard Deviation.2,Screen Conc(0.1-1.0),% Activity Remaining.3,Standard Deviation.3,Screen Conc(1.0),% Activity Remaining.4,Standard Deviation.4,Screen Conc(1.0-5.0),% Activity Remaining.5,Standard Deviation.5,Screen Conc(5.0-10.0),% Activity Remaining.6,Standard Deviation.6,Screen Conc(10.0),% Activity Remaining.7,Standard Deviation.7,Screen Conc(10.0-25.0),% Activity Remaining.8,Standard Deviation.8,Screen Conc(25.0),% Activity Remaining.9,Standard Deviation.9,Screen Conc(25.0-50.0),% Activity Remaining.10,Standard Deviation.10,Screen Conc(50.0),% Activity Remaining.11,Standard Deviation.11,Screen Conc(100.0),% Activity Remaining.12,Standard Deviation.12,Screen Conc(>100.0),% Activity Remaining.13,Standard Deviation.13
156,2.0,p38 alpha MAPK,,,,,,,,,,,,,1.0,49,1,,,,,,,10.0,17,4,,,,,,,,,,,,,,,,,,
157,2.0,CAMKK beta ,,,,,,,,,,,,,1.0,90,1,,,,,,,10.0,72,6,,,,,,,,,,,,,,,,,,
158,2.0,Q8IU85,,,,,,,,,,,,,1.0,83,3,,,,,,,10.0,63,2,,,,,,,,,,,,,,,,,,
159,2.0,SmMLCK,,,,,,,,,,,,,1.0,78,0,,,,,,,10.0,61,4,,,,,,,,,,,,,,,,,,
160,2.0,O60285,,,,,,,,,,,,,1.0,84,1,,,,,,,10.0,75,1,,,,,,,,,,,,,,,,,,
161,2.0,O14757,,,,,,,,,,,,,1.0,97,8,,,,,,,10.0,95,2,,,,,,,,,,,,,,,,,,
162,2.0,O96017,,,,,,,,,,,,,1.0,75,3,,,,,,,10.0,32,1,,,,,,,,,,,,,,,,,,
163,2.0,GSK3 beta ,,,,,,,,,,,,,1.0,95,1,,,,,,,10.0,77,0,,,,,,,,,,,,,,,,,,
164,2.0,CDK2-Cyclin A,,,,,,,,,,,,,1.0,94,3,,,,,,,10.0,55,1,,,,,,,,,,,,,,,,,,
165,2.0,P53350,,,,,,,,,,,,,1.0,94,2,,,,,,,10.0,95,5,,,,,,,,,,,,,,,,,,
166,2.0,Aurora B,,,,,,,,,,,,,1.0,90,7,,,,,,,10.0,74,8,,,,,,,,,,,,,,,,,,
167,2.0,Aurora C,,,,,,,,,,,,,1.0,88,6,,,,,,,10.0,55,1,,,,,,,,,,,,,,,,,,
168,2.0,O43781,,,,,,,,,,,,,1.0,84,1,,,,,,,10.0,65,1,,,,,,,,,,,,,,,,,,
169,2.0,Q9Y478,,,,,,,,,,,,,1.0,81,6,,,,,,,10.0,73,2,,,,,,,,,,,,,,,,,,
